type,country,share_in_market,1Year_growth_in_value,1Year_growth_in_qty
,Export,,,
Export,Mexico,21.8,-11,17.7
Export,Netherlands,6.6,15.7,29.9
Export,Peru,6.6,24.4,1.7
Export,Spain,3.2,1.6,-25.2
Export,Chile,2.9,35.8,34.5
Export,USA,1.6,18,39.5
